,P8467_1007,P8467_1040,P8467_1041,P8467_1048,P8467_1065,P8467_1111,P8467_1152,P8467_1157,P8467_1162,P8467_1176,P8467_1179,P8467_1221,P8467_1247,P8467_1251,P8467_1290,P8467_1294,P8467_1302,P8467_1333,P8467_1344,P8467_1350,P8467_1358,P8467_1360,P8467_1366
0610005C13Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610007C21Rik,,0.0,222.9,0.0,0.0,976.7,230.1,,420.1,0.0,111.5,0.0,210.7,63.6,112.8,0.0,0.0,0.0,0.0,0.0,,21.5,0.0
0610007L01Rik,48.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,46.9,0.0,0.0,
0610007P08Rik,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
0610007P14Rik,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,66.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.4,0.0,0.0,0.0,0.0,0.0,
0610007P22Rik,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.1,0.0,0.0,0.0,0.0,0.0,0.0
0610008F07Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610009B14Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610009B22Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610009D07Rik,0.0,0.0,0.0,,134.7,,0.0,0.0,49.3,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,203.7
0610009L18Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610009O20Rik,0.0,0.0,,0.0,0.3,0.0,0.0,93.0,0.0,16.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,0.0
0610010B08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610010B08Rik+Gm14308+Gm14430+Gm14434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610010F05Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610010K14Rik,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,,0.0,,,0.0,0.0
0610010O12Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610011F06Rik,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
0610011L14Rik,0.0,0.0,0.0,0.0,0.0,,144.4,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
0610012G03Rik,0.0,,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0
0610012H03Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610030E20Rik,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
0610031J06Rik,0.0,203.4,0.0,0.0,0.0,1.6,0.0,87.8,0.0,0.0,124.9,,0.0,,,,219.2,0.0,0.0,149.1,,0.0,
0610037L13Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.4,0.0,10.4,0.0,69.9,0.0,,0.0,24.5,0.0,0.0,120.5,0.0,0.0,0.0
0610037P05Rik,0.0,0.0,0.0,,49.0,0.0,0.0,0.0,89.5,0.0,0.8,0.0,0.0,0.0,0.0,95.4,,0.0,934.1,48.3,0.0,2.6,324.5
0610038B21Rik,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0
0610039K10Rik,0.0,,,,,,,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0
0610040B10Rik,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610040J01Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610043K17Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0910001L09Rik,0.0,,,,,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,,,0.0,0.0,,0.0
100043387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1100001G20Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110001A16Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,76.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
1110001J03Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.8,0.0,0.0,0.0,0.0,0.0,,1.6,123.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110002B05Rik,,228.1,0.0,0.0,109.6,0.0,0.0,0.0,,189.7,106.3,0.0,,0.0,,0.0,157.0,,0.0,0.0,0.0,0.0,163.0
1110002L01Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110002N22Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110003E01Rik,,0.0,39.0,0.0,186.8,,0.0,,114.0,0.0,70.2,0.0,112.4,0.0,24.8,281.3,50.6,0.0,0.0,141.0,,104.0,182.2
1110004E09Rik,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,
1110004F10Rik,0.0,,,0.0,,,,,,,,,0.0,,,,,0.0,,,0.0,0.0,0.0
1110005A03Rik,0.0,244.7,0.0,668.2,0.0,357.9,0.0,0.0,0.0,0.0,0.0,0.0,385.2,1.6,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
1110006O24Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110007C09Rik,0.0,,0.0,0.0,79.7,,351.0,,0.0,0.0,108.7,0.0,,169.4,0.0,0.0,0.0,0.0,0.0,0.0,,,
1110008F13Rik,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
1110008J03Rik,0.0,0.0,,1.5,0.0,0.0,0.0,0.0,0.0,153.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
