gene_id;gene_short_name;gene_type;
ENSMUSG00000000001;Gnai3;protein_coding;
ENSMUSG00000000056;Narf;protein_coding;
ENSMUSG00000000131;Xpo6;protein_coding;
ENSMUSG00000000134;Tfe3;protein_coding;
ENSMUSG00000000148;Brat1;protein_coding;
ENSMUSG00000000149;Gna12;protein_coding;
ENSMUSG00000000168;Dlat;protein_coding;
ENSMUSG00000000171;Sdhd;protein_coding;
ENSMUSG00000000194;Gpr107;protein_coding;
ENSMUSG00000000339;Rtca;protein_coding;
ENSMUSG00000000340;Dbt;protein_coding;
ENSMUSG00000000346;Dazap2;protein_coding;
ENSMUSG00000000374;Trappc10;protein_coding;
ENSMUSG00000000384;Tbrg4;protein_coding;
ENSMUSG00000000399;Ndufa9;protein_coding;
ENSMUSG00000000420;Galnt1;protein_coding;
ENSMUSG00000000439;Mkrn2;protein_coding;
ENSMUSG00000000441;Raf1;protein_coding;
ENSMUSG00000000538;Tom1l2;protein_coding;
ENSMUSG00000000561;Wdr77;protein_coding;
ENSMUSG00000000563;Atp5f1;protein_coding;
ENSMUSG00000000568;Hnrnpd;protein_coding;
ENSMUSG00000000581;C1d;protein_coding;
ENSMUSG00000000600;Krit1;protein_coding;
ENSMUSG00000000605;Clcn4-2;protein_coding;
ENSMUSG00000000631;Myo18a;protein_coding;
ENSMUSG00000000708;Kat2b;protein_coding;
ENSMUSG00000000711;Rab5b;protein_coding;
ENSMUSG00000000738;Spg7;protein_coding;
ENSMUSG00000000740;Rpl13;protein_coding;
ENSMUSG00000000743;Chmp1a;protein_coding;
ENSMUSG00000000759;Tubgcp3;protein_coding;
ENSMUSG00000000776;Polr3d;protein_coding;
ENSMUSG00000000826;Dnajc5;protein_coding;
ENSMUSG00000000827;Tpd52l2;protein_coding;
ENSMUSG00000000838;Fmr1;protein_coding;
ENSMUSG00000000902;Smarcb1;protein_coding;
ENSMUSG00000000916;Nsun5;protein_coding;
ENSMUSG00000000934;Top1mt;protein_coding;
ENSMUSG00000000959;Oxa1l;protein_coding;
ENSMUSG00000000976;Heatr6;protein_coding;
ENSMUSG00000001016;Ilf2;protein_coding;
ENSMUSG00000001017;Chtop;protein_coding;
ENSMUSG00000001018;Snapin;protein_coding;
ENSMUSG00000001052;Sec24b;protein_coding;
ENSMUSG00000001054;Rmnd5b;protein_coding;
ENSMUSG00000001056;Nhp2;protein_coding;
ENSMUSG00000001062;Vps9d1;protein_coding;
ENSMUSG00000001065;Zfp276;protein_coding;
ENSMUSG00000001100;Poldip2;protein_coding;
ENSMUSG00000001105;Ift20;protein_coding;
ENSMUSG00000001127;Araf;protein_coding;
ENSMUSG00000001134;Uxt;protein_coding;
ENSMUSG00000001138;Cnnm3;protein_coding;
ENSMUSG00000001143;Lman2l;protein_coding;
ENSMUSG00000001150;Mcm3ap;protein_coding;
ENSMUSG00000001158;Snrnp27;protein_coding;
ENSMUSG00000001211;Agpat3;protein_coding;
ENSMUSG00000001229;Dpp9;protein_coding;
ENSMUSG00000001280;Sp1;protein_coding;
ENSMUSG00000001285;Myg1;protein_coding;
ENSMUSG00000001289;Pfdn5;protein_coding;
ENSMUSG00000001305;Rrp15;protein_coding;
ENSMUSG00000001323;Srr;protein_coding;
ENSMUSG00000001366;Fbxo9;protein_coding;
ENSMUSG00000001376;Ccdc132;protein_coding;
ENSMUSG00000001380;Hars;protein_coding;
ENSMUSG00000001383;Zmat2;protein_coding;
ENSMUSG00000001415;Smg5;protein_coding;
ENSMUSG00000001416;Cct3;protein_coding;
ENSMUSG00000001424;Snd1;protein_coding;
ENSMUSG00000001440;Kpnb1;protein_coding;
ENSMUSG00000001441;Npepps;protein_coding;
ENSMUSG00000001445;Mrpl10;protein_coding;
ENSMUSG00000001472;Tcf25;protein_coding;
ENSMUSG00000001518;Itfg2;protein_coding;
ENSMUSG00000001542;Ell2;protein_coding;
ENSMUSG00000001569;Nom1;protein_coding;
ENSMUSG00000001576;Ergic1;protein_coding;
ENSMUSG00000001627;Ifrd1;protein_coding;
ENSMUSG00000001630;Stk38l;protein_coding;
ENSMUSG00000001632;Brpf1;protein_coding;
